start_time,request_type,latency,response_code
2021-10-10 00:45:24.662,POST,71,201
2021-10-10 00:45:24.733,POST,71,201
2021-10-10 00:45:24.804,POST,72,201
2021-10-10 00:45:24.876,POST,71,201
2021-10-10 00:45:24.947,POST,72,201
2021-10-10 00:45:25.019,POST,71,201
2021-10-10 00:45:25.09,POST,71,201
2021-10-10 00:45:25.162,POST,71,201
2021-10-10 00:45:16.189,POST,173,201
2021-10-10 00:45:16.371,POST,75,201
2021-10-10 00:45:16.446,POST,71,201
2021-10-10 00:45:16.517,POST,72,201
2021-10-10 00:45:16.589,POST,70,201
2021-10-10 00:45:16.659,POST,70,201
2021-10-10 00:45:16.729,POST,70,201
2021-10-10 00:45:16.799,POST,70,201
2021-10-10 00:45:16.869,POST,71,201
2021-10-10 00:45:16.94,POST,70,201
2021-10-10 00:45:17.01,POST,70,201
2021-10-10 00:45:17.08,POST,73,201
2021-10-10 00:45:17.153,POST,77,201
2021-10-10 00:45:17.231,POST,71,201
2021-10-10 00:45:17.302,POST,69,201
2021-10-10 00:45:17.371,POST,73,201
2021-10-10 00:45:17.444,POST,72,201
2021-10-10 00:45:17.516,POST,70,201
2021-10-10 00:45:17.586,POST,70,201
2021-10-10 00:45:17.656,POST,70,201
2021-10-10 00:45:17.726,POST,71,201
2021-10-10 00:45:17.798,POST,70,201
2021-10-10 00:45:17.868,POST,70,201
2021-10-10 00:45:17.938,POST,70,201
2021-10-10 00:45:18.008,POST,73,201
2021-10-10 00:45:18.081,POST,70,201
2021-10-10 00:45:18.151,POST,71,201
2021-10-10 00:45:18.222,POST,71,201
2021-10-10 00:45:18.293,POST,71,201
2021-10-10 00:45:18.364,POST,70,201
2021-10-10 00:45:18.434,POST,70,201
2021-10-10 00:45:18.504,POST,70,201
2021-10-10 00:45:18.574,POST,70,201
2021-10-10 00:45:18.645,POST,70,201
2021-10-10 00:45:18.715,POST,70,201
2021-10-10 00:45:18.786,POST,70,201
2021-10-10 00:45:18.856,POST,70,201
2021-10-10 00:45:18.926,POST,70,201
2021-10-10 00:45:18.997,POST,70,201
2021-10-10 00:45:19.067,POST,73,201
2021-10-10 00:45:19.14,POST,71,201
2021-10-10 00:45:19.212,POST,70,201
2021-10-10 00:45:19.282,POST,71,201
2021-10-10 00:45:19.353,POST,70,201
2021-10-10 00:45:19.423,POST,71,201
2021-10-10 00:45:19.494,POST,70,201
2021-10-10 00:45:19.565,POST,70,201
2021-10-10 00:45:19.635,POST,71,201
2021-10-10 00:45:19.706,POST,70,201
2021-10-10 00:45:19.777,POST,70,201
2021-10-10 00:45:19.847,POST,71,201
2021-10-10 00:45:19.918,POST,70,201
2021-10-10 00:45:19.988,POST,70,201
2021-10-10 00:45:20.058,POST,73,201
2021-10-10 00:45:20.131,POST,71,201
2021-10-10 00:45:20.202,POST,70,201
2021-10-10 00:45:20.272,POST,70,201
2021-10-10 00:45:20.342,POST,70,201
2021-10-10 00:45:20.412,POST,71,201
2021-10-10 00:45:20.483,POST,69,201
2021-10-10 00:45:20.552,POST,70,201
2021-10-10 00:45:20.622,POST,70,201
2021-10-10 00:45:20.692,POST,70,201
2021-10-10 00:45:20.762,POST,70,201
2021-10-10 00:45:20.832,POST,70,201
2021-10-10 00:45:20.902,POST,69,201
2021-10-10 00:45:20.971,POST,71,201
2021-10-10 00:45:21.042,POST,71,201
2021-10-10 00:45:21.113,POST,72,201
2021-10-10 00:45:21.185,POST,71,201
2021-10-10 00:45:21.256,POST,70,201
2021-10-10 00:45:21.326,POST,70,201
2021-10-10 00:45:21.396,POST,70,201
2021-10-10 00:45:21.467,POST,71,201
2021-10-10 00:45:21.538,POST,71,201
2021-10-10 00:45:21.609,POST,70,201
2021-10-10 00:45:21.679,POST,71,201
2021-10-10 00:45:21.75,POST,71,201
2021-10-10 00:45:21.821,POST,71,201
2021-10-10 00:45:21.892,POST,72,201
2021-10-10 00:45:21.964,POST,72,201
2021-10-10 00:45:22.036,POST,73,201
2021-10-10 00:45:22.109,POST,72,201
2021-10-10 00:45:22.181,POST,70,201
2021-10-10 00:45:22.251,POST,75,201
2021-10-10 00:45:22.326,POST,70,201
2021-10-10 00:45:22.396,POST,70,201
2021-10-10 00:45:22.466,POST,70,201
2021-10-10 00:45:22.536,POST,71,201
2021-10-10 00:45:22.607,POST,70,201
2021-10-10 00:45:22.677,POST,82,201
2021-10-10 00:45:22.759,POST,73,201
2021-10-10 00:45:22.832,POST,70,201
2021-10-10 00:45:22.902,POST,70,201
2021-10-10 00:45:22.972,POST,70,201
2021-10-10 00:45:23.042,POST,70,201
2021-10-10 00:45:23.112,POST,70,201
2021-10-10 00:45:23.182,POST,72,201
2021-10-10 00:45:23.254,POST,70,201
2021-10-10 00:45:23.324,POST,71,201
2021-10-10 00:45:23.395,POST,141,201
2021-10-10 00:45:23.536,POST,71,201
2021-10-10 00:45:23.608,POST,72,201
2021-10-10 00:45:23.68,POST,71,201
2021-10-10 00:45:23.751,POST,71,201
2021-10-10 00:45:23.822,POST,71,201
2021-10-10 00:45:23.893,POST,71,201
2021-10-10 00:45:23.964,POST,71,201
2021-10-10 00:45:24.035,POST,70,201
2021-10-10 00:45:24.105,POST,72,201
2021-10-10 00:45:24.177,POST,71,201
2021-10-10 00:45:24.248,POST,71,201
2021-10-10 00:45:24.319,POST,73,201
2021-10-10 00:45:24.392,POST,72,201
2021-10-10 00:45:24.464,POST,72,201
2021-10-10 00:45:24.536,POST,72,201
2021-10-10 00:45:24.608,POST,71,201
2021-10-10 00:45:24.679,POST,71,201
2021-10-10 00:45:24.75,POST,72,201
2021-10-10 00:45:24.822,POST,71,201
2021-10-10 00:45:24.893,POST,71,201
2021-10-10 00:45:24.964,POST,71,201
2021-10-10 00:45:25.036,POST,71,201
2021-10-10 00:45:25.107,POST,71,201
2021-10-10 00:45:25.178,POST,72,201
2021-10-10 00:45:16.189,POST,172,201
2021-10-10 00:45:16.372,POST,84,201
2021-10-10 00:45:16.456,POST,73,201
2021-10-10 00:45:16.529,POST,72,201
2021-10-10 00:45:16.601,POST,70,201
2021-10-10 00:45:16.671,POST,70,201
2021-10-10 00:45:16.741,POST,70,201
2021-10-10 00:45:16.811,POST,72,201
2021-10-10 00:45:16.883,POST,72,201
2021-10-10 00:45:16.956,POST,72,201
2021-10-10 00:45:17.028,POST,70,201
2021-10-10 00:45:17.098,POST,73,201
2021-10-10 00:45:17.171,POST,70,201
2021-10-10 00:45:17.241,POST,76,201
2021-10-10 00:45:17.317,POST,70,201
2021-10-10 00:45:17.387,POST,71,201
2021-10-10 00:45:17.458,POST,70,201
2021-10-10 00:45:17.528,POST,70,201
2021-10-10 00:45:17.598,POST,69,201
2021-10-10 00:45:17.667,POST,70,201
2021-10-10 00:45:17.737,POST,71,201
2021-10-10 00:45:17.808,POST,70,201
2021-10-10 00:45:17.878,POST,71,201
2021-10-10 00:45:17.949,POST,70,201
2021-10-10 00:45:18.019,POST,70,201
2021-10-10 00:45:18.089,POST,70,201
2021-10-10 00:45:18.159,POST,71,201
2021-10-10 00:45:18.23,POST,70,201
2021-10-10 00:45:18.301,POST,71,201
2021-10-10 00:45:18.372,POST,69,201
2021-10-10 00:45:18.442,POST,71,201
2021-10-10 00:45:18.513,POST,71,201
